name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS
Devin Singletary,22,RB,Florida Atlantic,74,2018,12,261,1348,22,6,36,0
Damien Harris,22,RB,Alabama,87,2015*,12,36,113,0,4,13,0
Damien Harris,22,RB,Alabama,87,2016*,15,120,790,1,14,99,2
Damien Harris,22,RB,Alabama,87,2017*,14,135,1000,11,12,91,0
Damien Harris,22,RB,Alabama,87,2018*,15,150,876,9,22,204,0
Alexander Mattison,21,RB,Boise St.,102,2016*,13,67,328,4,5,54,0
Alexander Mattison,21,RB,Boise St.,102,2017*,14,212,1086,12,28,284,1
Alexander Mattison,21,RB,Boise St.,102,2018,13,302,1415,17,27,173,0
Bryce Love,22,RB,Stanford,112,2015*,14,29,226,2,15,250,1
Bryce Love,22,RB,Stanford,112,2016*,12,111,783,3,8,83,1
Bryce Love,22,RB,Stanford,112,2017*,13,263,2118,19,6,33,0
Bryce Love,22,RB,Stanford,112,2018*,10,166,739,6,20,99,0
Justice Hill,21,RB,Oklahoma St.,113,2016*,13,206,1142,6,5,46,0
Justice Hill,21,RB,Oklahoma St.,113,2017*,13,268,1467,15,31,190,1
Justice Hill,21,RB,Oklahoma St.,113,2018*,10,158,930,9,13,68,0
Benny Snell Jr.,21,RB,Kentucky,122,2016*,13,186,1091,13,2,39,0
Benny Snell Jr.,21,RB,Kentucky,122,2017*,13,262,1333,19,10,72,0
Benny Snell Jr.,21,RB,Kentucky,122,2018*,13,289,1449,16,17,105,0
Tony Pollard,22,RB,Memphis,128,2016*,13,31,159,1,29,298,2
Tony Pollard,22,RB,Memphis,128,2017*,13,30,230,2,36,536,4
Tony Pollard,22,RB,Memphis,128,2018*,14,78,552,6,39,458,3
Ryquell Armstead,22,RB,Temple,140,2015*,12,51,191,2,2,7,0
Ryquell Armstead,22,RB,Temple,140,2016*,13,156,919,14,5,41,0
Ryquell Armstead,22,RB,Temple,140,2017*,13,156,604,5,14,75,0
Ryquell Armstead,22,RB,Temple,140,2018*,10,210,1098,13,8,52,0
Qadree Ollison,22,RB,Pittsburgh,152,2015*,13,212,1121,11,14,77,1
Qadree Ollison,22,RB,Pittsburgh,152,2016*,13,33,127,2,2,38,0
Qadree Ollison,22,RB,Pittsburgh,152,2017,12,90,398,5,23,194,2
Qadree Ollison,22,RB,Pittsburgh,152,2018*,14,194,1213,11,11,66,0
Jordan Scarlett,23,RB,Florida,154,2015*,9,34,181,1,1,1,0
Jordan Scarlett,23,RB,Florida,154,2016*,13,179,889,6,4,23,0
Jordan Scarlett,23,RB,Florida,154,2018*,13,131,776,5,10,84,0
Trayveon Williams,21,RB,Texas A&M,182,2016*,13,156,1057,8,19,91,0
Trayveon Williams,21,RB,Texas A&M,182,2017*,12,173,798,8,20,192,0
Trayveon Williams,21,RB,Texas A&M,182,2018*,13,271,1760,18,27,278,1
Ty Johnson,21,RB,Maryland,186,2015,12,35,250,3,2,30,0
Ty Johnson,21,RB,Maryland,186,2016*,13,110,1004,6,16,206,1
Ty Johnson,21,RB,Maryland,186,2017,12,137,875,5,5,60,1
Ty Johnson,21,RB,Maryland,186,2018,9,66,506,3,6,22,0
Dexter Williams,22,RB,Notre Dame,194,2015*,7,21,81,1,0,0,0
