name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS
Courtland Sutton,22,WR,SMU,40,2014,16,42,704,4,0,0,0
Courtland Sutton,22,WR,SMU,40,2015,16,42,704,4,0,0,0
Courtland Sutton,22,WR,SMU,40,2016,16,42,704,4,0,0,0
Courtland Sutton,22,WR,SMU,40,2017*,16,42,704,4,1,2,1
Dante Pettis,22,WR,Washington,44,2014*,12,27,467,5,0,0,0
Dante Pettis,22,WR,Washington,44,2015*,12,27,467,5,1,-8,0
Dante Pettis,22,WR,Washington,44,2016*,12,27,467,5,0,0,0
Dante Pettis,22,WR,Washington,44,2017*,12,27,467,5,3,50,0
Christian Kirk,21,WR,Texas A&M,47,2015*,12,43,590,3,11,54,0
Christian Kirk,21,WR,Texas A&M,47,2016*,12,43,590,3,8,35,0
Christian Kirk,21,WR,Texas A&M,47,2017*,12,43,590,3,4,31,0
Anthony Miller,23,WR,Memphis,51,2015*,15,33,423,7,9,54,2
Anthony Miller,23,WR,Memphis,51,2016*,15,33,423,7,12,69,1
Anthony Miller,23,WR,Memphis,51,2017*,15,33,423,7,10,25,0
James Washington,22,WR,Oklahoma St.,60,2014*,14,16,217,1,1,20,0
James Washington,22,WR,Oklahoma St.,60,2015*,14,16,217,1,1,10,0
James Washington,22,WR,Oklahoma St.,60,2016*,14,16,217,1,4,28,0
James Washington,22,WR,Oklahoma St.,60,2017*,14,16,217,1,3,12,1
DJ Chark,21,WR,LSU,61,2014*,11,14,174,0,0,0,0
DJ Chark,21,WR,LSU,61,2015*,11,14,174,0,1,79,1
DJ Chark,21,WR,LSU,61,2016*,11,14,174,0,12,122,2
DJ Chark,21,WR,LSU,61,2017*,11,14,174,0,12,63,1
Michael Gallup,22,WR,Colorado St.,81,2016*,16,33,507,2,4,15,0
Michael Gallup,22,WR,Colorado St.,81,2017*,16,33,507,2,0,0,0
Tre'Quan Smith,22,WR,Central Florida,91,2015,15,28,427,5,0,0,0
