name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs,passCMP,passingYDS,passingTDS,passingINT,rushingYDS,rushingTDS
Jake Rudock,23,QB,Michigan,191,2013,13,204,346,346.0,2383,18,5.2,13,3.8,126.5,67,218,5.0,,,,,,
Jake Rudock,23,QB,Michigan,191,2014,12,213,345,345.0,2436,16,4.6,5,1.4,133.5,67,176,3.0,,,,,,
Jake Rudock,23,QB,Michigan,191,2015,13,249,389,389.0,3017,20,5.1,9,2.3,141.5,58,166,4.0,,,,,,
Brandon Allen,24,QB,Arkansas,201,2012,3,21,49,49.0,186,1,2.0,3,6.1,69.2,8,-3,0.0,46.4,515.0,3.0,2.0,39.0,0.0
Brandon Allen,24,QB,Arkansas,201,2013,3,128,258,258.0,1552,13,5.0,10,3.9,109.0,29,29,1.0,46.4,515.0,3.0,2.0,39.0,0.0
Brandon Allen,24,QB,Arkansas,201,2014,3,190,339,339.0,2285,20,5.9,5,1.5,129.2,42,0,2.0,46.4,515.0,3.0,2.0,39.0,0.0
Brandon Allen,24,QB,Arkansas,201,2015,3,244,370,370.0,3440,30,8.1,8,2.2,166.5,56,107,1.0,46.4,515.0,3.0,2.0,39.0,0.0
Jeff Driskel,23,QB,Louisiana Tech,207,2011,9,16,34,34.0,148,0,0.0,2,5.9,71.9,16,18,0.0,59.7,1003.0,6.0,2.0,130.0,2.0
Jeff Driskel,23,QB,Louisiana Tech,207,2012,9,156,245,245.0,1646,12,4.9,5,2.0,132.2,118,413,4.0,59.7,1003.0,6.0,2.0,130.0,2.0
Jeff Driskel,23,QB,Louisiana Tech,207,2013,9,42,61,61.0,477,2,3.3,3,4.9,135.5,17,38,1.0,59.7,1003.0,6.0,2.0,130.0,2.0
Jeff Driskel,23,QB,Louisiana Tech,207,2014,9,114,212,212.0,1140,9,4.2,10,4.7,103.5,69,180,4.0,59.7,1003.0,6.0,2.0,130.0,2.0
Jeff Driskel,23,QB,Louisiana Tech,207,2015,9,281,450,450.0,4033,27,6.0,8,1.8,154.0,92,323,5.0,59.7,1003.0,6.0,2.0,130.0,2.0
Brandon Doughty,24,QB,Western Kentucky,223,2011,2,13,22,22.0,106,0,0.0,1,4.5,90.5,2,-2,0.0,,,,,,
Brandon Doughty,24,QB,Western Kentucky,223,2012,2,1,3,3.0,7,0,0.0,0,0.0,52.9,0,0,0.0,,,,,,
Brandon Doughty,24,QB,Western Kentucky,223,2013,12,246,374,374.0,2857,14,3.7,14,3.7,134.8,34,-109,0.0,,,,,,
Brandon Doughty,24,QB,Western Kentucky,223,2014,13,375,552,552.0,4830,49,8.9,10,1.8,167.1,39,-52,2.0,,,,,,
Brandon Doughty,24,QB,Western Kentucky,223,2015,14,388,540,540.0,5055,48,8.9,9,1.7,176.5,27,-122,1.0,,,,,,
Mitchell Trubisky,23,QB,North Carolina,2,2014,12,42,78,78.0,459,5,6.4,4,5.1,114.2,11,30,0.0,59.4,2193.0,7.0,7.0,248.0,2.0
Mitchell Trubisky,23,QB,North Carolina,2,2015,12,40,47,47.0,555,6,12.8,0,0.0,226.4,16,101,3.0,59.4,2193.0,7.0,7.0,248.0,2.0
Mitchell Trubisky,23,QB,North Carolina,2,2016,12,304,447,447.0,3748,30,6.7,6,1.3,157.9,93,308,5.0,59.4,2193.0,7.0,7.0,248.0,2.0
Patrick Mahomes,21,QB,Texas Tech,10,2014,1,105,185,185.0,1547,16,8.6,4,2.2,151.2,46,104,0.0,62.9,284.0,0.0,1.0,10.0,0.0
Patrick Mahomes,21,QB,Texas Tech,10,2015,1,364,573,573.0,4653,36,6.3,15,2.6,147.2,131,456,10.0,62.9,284.0,0.0,1.0,10.0,0.0
Patrick Mahomes,21,QB,Texas Tech,10,2016,1,388,591,591.0,5052,41,6.9,10,1.7,157.0,131,260,12.0,62.9,284.0,0.0,1.0,10.0,0.0
Deshaun Watson,21,QB,Clemson,12,2014,7,93,137,137.0,1466,14,10.2,2,1.5,188.6,63,200,5.0,61.8,1699.0,19.0,8.0,269.0,2.0
Deshaun Watson,21,QB,Clemson,12,2015,7,333,491,491.0,4104,35,7.1,13,2.6,156.3,207,1105,12.0,61.8,1699.0,19.0,8.0,269.0,2.0
Deshaun Watson,21,QB,Clemson,12,2016,7,388,579,579.0,4593,41,7.1,17,2.9,151.1,165,629,9.0,61.8,1699.0,19.0,8.0,269.0,2.0
DeShone Kizer,21,QB,Notre Dame,52,2015,15,211,335,335.0,2884,21,6.3,10,3.0,150.0,134,520,10.0,53.6,2894.0,11.0,22.0,419.0,5.0
DeShone Kizer,21,QB,Notre Dame,52,2016,15,212,361,361.0,2925,26,7.2,9,2.5,145.6,129,472,8.0,53.6,2894.0,11.0,22.0,419.0,5.0
Davis Webb,22,QB,California,87,2013,10,226,361,361.0,2718,20,5.5,9,2.5,139.1,25,-12,0.0,,,,,,
Davis Webb,22,QB,California,87,2014,8,211,345,345.0,2539,24,7.0,13,3.8,138.4,17,16,1.0,,,,,,
Davis Webb,22,QB,California,87,2015,5,22,41,41.0,300,2,4.9,0,0.0,131.2,2,6,2.0,,,,,,
Davis Webb,22,QB,California,87,2016,12,382,620,620.0,4295,37,6.0,12,1.9,135.6,33,-110,6.0,,,,,,
C.J. Beathard,23,QB,Iowa,104,2013,7,9,27,27.0,179,1,3.7,2,7.4,86.4,13,49,2.0,54.9,1430.0,4.0,6.0,136.0,3.0
C.J. Beathard,23,QB,Iowa,104,2014,7,52,92,92.0,645,5,5.4,2,2.2,129.0,28,156,0.0,54.9,1430.0,4.0,6.0,136.0,3.0
C.J. Beathard,23,QB,Iowa,104,2015,7,223,362,362.0,2809,17,4.7,5,1.4,139.5,100,237,6.0,54.9,1430.0,4.0,6.0,136.0,3.0
C.J. Beathard,23,QB,Iowa,104,2016,7,170,301,301.0,1929,17,5.6,10,3.3,122.3,83,-13,2.0,54.9,1430.0,4.0,6.0,136.0,3.0
Joshua Dobbs,22,QB,Tennessee,135,2013,5,72,121,121.0,695,2,1.7,6,5.0,103.3,38,189,1.0,50.0,43.0,0.0,1.0,11.0,0.0
Joshua Dobbs,22,QB,Tennessee,135,2014,5,112,177,177.0,1206,9,5.1,6,3.4,130.5,104,469,8.0,50.0,43.0,0.0,1.0,11.0,0.0
