name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Alvin Kamara,22,RB,Tennessee,67,2015*,16,107,698,7,81,826,5,728.0,8.0
Alvin Kamara,22,RB,Tennessee,67,2016*,16,103,596,9,81,826,5,728.0,8.0
Kareem Hunt,22,RB,Toledo,86,2013,16,137,866,6,53,455,3,1327.0,8.0
Kareem Hunt,22,RB,Toledo,86,2014*,16,205,1631,16,53,455,3,1327.0,8.0
Kareem Hunt,22,RB,Toledo,86,2015*,16,178,973,12,53,455,3,1327.0,8.0
Kareem Hunt,22,RB,Toledo,86,2016*,16,262,1475,10,53,455,3,1327.0,8.0
D'Onta Foreman,21,RB,Texas,89,2014*,10,15,73,0,6,83,0,327.0,2.0
D'Onta Foreman,21,RB,Texas,89,2015,10,95,681,5,6,83,0,327.0,2.0
D'Onta Foreman,21,RB,Texas,89,2016,10,323,2028,15,6,83,0,327.0,2.0
James Conner,22,RB,Pittsburgh,105,2013*,14,146,799,8,0,0,0,144.0,0.0
James Conner,22,RB,Pittsburgh,105,2014*,14,298,1765,26,0,0,0,144.0,0.0
James Conner,22,RB,Pittsburgh,105,2015*,14,8,77,2,0,0,0,144.0,0.0
James Conner,22,RB,Pittsburgh,105,2016*,14,216,1092,16,0,0,0,144.0,0.0
Samaje Perine,21,RB,Oklahoma,114,2014*,16,263,1713,21,22,182,1,603.0,1.0
Samaje Perine,21,RB,Oklahoma,114,2015*,16,226,1349,16,22,182,1,603.0,1.0
Samaje Perine,21,RB,Oklahoma,114,2016*,16,196,1060,12,22,182,1,603.0,1.0
Joe Williams,24,RB,Utah,121,2015*,10,104,477,3,11,84,0,,
Joe Williams,24,RB,Utah,121,2016*,9,210,1407,10,9,107,0,,
Donnel Pumphrey,22,RB,San Diego St.,132,2013*,13,125,752,8,22,234,2,,
Donnel Pumphrey,22,RB,San Diego St.,132,2014*,13,276,1867,20,23,160,0,,
Donnel Pumphrey,22,RB,San Diego St.,132,2015*,14,309,1653,17,28,416,3,,
Donnel Pumphrey,22,RB,San Diego St.,132,2016*,14,349,2133,17,27,231,0,,
Jamaal Williams,22,RB,BYU,134,2012*,16,166,775,12,25,262,2,556.0,4.0
Jamaal Williams,22,RB,BYU,134,2013*,16,217,1233,7,25,262,2,556.0,4.0
Jamaal Williams,22,RB,BYU,134,2014*,16,109,518,4,25,262,2,556.0,4.0
Jamaal Williams,22,RB,BYU,134,2016*,16,234,1375,12,25,262,2,556.0,4.0
Wayne Gallman,22,RB,Clemson,140,2014*,13,161,769,4,34,193,1,476.0,0.0
Wayne Gallman,22,RB,Clemson,140,2015*,13,283,1527,13,34,193,1,476.0,0.0
Wayne Gallman,22,RB,Clemson,140,2016*,13,232,1133,17,34,193,1,476.0,0.0
Marlon Mack,21,RB,South Florida,143,2014,14,202,1041,9,21,225,1,358.0,3.0
Marlon Mack,21,RB,South Florida,143,2015*,14,210,1381,8,21,225,1,358.0,3.0
Marlon Mack,21,RB,South Florida,143,2016*,14,174,1187,15,21,225,1,358.0,3.0
Brian Hill,21,RB,Wyoming,156,2014,7,145,796,7,2,36,0,37.0,0.0
Brian Hill,21,RB,Wyoming,156,2015,7,281,1631,6,2,36,0,37.0,0.0
Brian Hill,21,RB,Wyoming,156,2016*,7,349,1860,22,2,36,0,37.0,0.0
Jeremy McNichols,21,RB,Boise St.,162,2014*,2,17,159,1,0,0,0,0.0,0.0
Jeremy McNichols,21,RB,Boise St.,162,2015*,2,240,1337,20,0,0,0,0.0,0.0
Jeremy McNichols,21,RB,Boise St.,162,2016*,2,314,1709,23,0,0,0,0.0,0.0
T.J. Logan,23,RB,North Carolina,179,2013*,9,93,533,4,10,124,0,,
T.J. Logan,23,RB,North Carolina,179,2014*,13,119,582,3,26,144,0,,
T.J. Logan,23,RB,North Carolina,179,2015*,14,66,400,5,11,151,1,,
T.J. Logan,23,RB,North Carolina,179,2016*,13,120,650,7,29,244,3,,
Aaron Jones,22,RB,Texas-El Paso,182,2013,12,155,811,4,9,22,0,448.0,4.0
Aaron Jones,22,RB,Texas-El Paso,182,2014*,12,242,1321,11,9,22,0,448.0,4.0
Aaron Jones,22,RB,Texas-El Paso,182,2015,12,32,209,1,9,22,0,448.0,4.0
