name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
JJ Nelson,23,WR,Ala-Birmingham,159.0,2012,11.0,7.0,136.0,1.0,0.0,0.0,0.0,/cfb/schools/auburn/2012.html
JJ Nelson,23,WR,Ala-Birmingham,159.0,2013*,6.0,11.0,154.0,3.0,0.0,0.0,0.0,/cfb/schools/auburn/2013.html
JJ Nelson,23,WR,Ala-Birmingham,159.0,2014*,13.0,11.0,145.0,3.0,1.0,1.0,0.0,/cfb/schools/auburn/2014.html
JJ Nelson,23,WR,,,,11.0,11.0,299.0,2.0,,,,
Kenny Bell,23,WR,Nebraska,162.0,2011*,13.0,32.0,461.0,3.0,3.0,100.0,1.0,/cfb/schools/nebraska/2011.html
Kenny Bell,23,WR,Nebraska,162.0,2012*,14.0,50.0,863.0,8.0,2.0,8.0,0.0,/cfb/schools/nebraska/2012.html
Kenny Bell,23,WR,Nebraska,162.0,2013*,13.0,52.0,577.0,4.0,1.0,1.0,0.0,/cfb/schools/nebraska/2013.html
Kenny Bell,23,WR,Nebraska,162.0,2014*,13.0,47.0,788.0,6.0,0.0,0.0,0.0,/cfb/schools/nebraska/2014.html
Kenny Bell,23,WR,,,,,,,,,,,
Keith Mumphery,23,WR,Michigan St.,175.0,2011*,14.0,2.0,39.0,0.0,0.0,0.0,0.0,/cfb/schools/michigan-state/2011.html
Keith Mumphery,23,WR,Michigan St.,175.0,2012*,13.0,42.0,515.0,1.0,6.0,38.0,0.0,/cfb/schools/michigan-state/2012.html
Keith Mumphery,23,WR,Michigan St.,175.0,2013*,12.0,18.0,299.0,3.0,2.0,2.0,0.0,/cfb/schools/michigan-state/2013.html
Keith Mumphery,23,WR,Michigan St.,175.0,2014*,13.0,26.0,495.0,3.0,6.0,85.0,1.0,/cfb/schools/michigan-state/2014.html
Keith Mumphery,23,WR,,,,16.0,14.0,129.0,0.0,,,,
Kaelin Clay,23,WR,Utah,184.0,2014*,13.0,43.0,523.0,4.0,4.0,4.0,0.0,/cfb/schools/utah/2014.html
Kaelin Clay,23,WR,,,,13.0,6.0,85.0,0.0,,,,
Geremy Davis,23,WR,Connecticut,186.0,2011,12.0,6.0,73.0,0.0,0.0,0.0,0.0,/cfb/schools/connecticut/2011.html
Geremy Davis,23,WR,Connecticut,186.0,2012,12.0,44.0,613.0,1.0,0.0,0.0,0.0,/cfb/schools/connecticut/2012.html
Geremy Davis,23,WR,Connecticut,186.0,2013,12.0,71.0,1085.0,3.0,0.0,0.0,0.0,/cfb/schools/connecticut/2013.html
Geremy Davis,23,WR,Connecticut,186.0,2014,11.0,44.0,521.0,3.0,0.0,0.0,0.0,/cfb/schools/connecticut/2014.html
Geremy Davis,23,WR,,,,10.0,2.0,21.0,0.0,,,,
Evan Spencer,22,WR,Ohio St.,187.0,2011*,10.0,3.0,78.0,1.0,0.0,0.0,0.0,/cfb/schools/ohio-state/2011.html
Evan Spencer,22,WR,Ohio St.,187.0,2012,11.0,12.0,136.0,0.0,0.0,0.0,0.0,/cfb/schools/ohio-state/2012.html
Evan Spencer,22,WR,Ohio St.,187.0,2013*,10.0,22.0,216.0,3.0,0.0,0.0,0.0,/cfb/schools/ohio-state/2013.html
Evan Spencer,22,WR,Ohio St.,187.0,2014*,15.0,15.0,149.0,3.0,1.0,9.0,0.0,/cfb/schools/ohio-state/2014.html
Evan Spencer,22,WR,,,,,,,,,,,
Darren Waller,22,WR,Georgia Tech,204.0,2012*,14.0,8.0,162.0,0.0,0.0,0.0,0.0,/cfb/schools/georgia-tech/2012.html
Darren Waller,22,WR,Georgia Tech,204.0,2013*,9.0,17.0,367.0,3.0,0.0,0.0,0.0,/cfb/schools/georgia-tech/2013.html
Darren Waller,22,WR,Georgia Tech,204.0,2014*,12.0,26.0,442.0,6.0,0.0,0.0,0.0,/cfb/schools/georgia-tech/2014.html
Darren Waller,22,WR,,,,6.0,2.0,18.0,0.0,,,,
Neal Sterling,23,WR,Monmouth,220.0,2011,12.0,6.0,43.0,0.0,0.0,0.0,0.0,/cfb/schools/alabama-birmingham/2011.html
Neal Sterling,23,WR,Monmouth,220.0,2012,12.0,23.0,235.0,4.0,0.0,0.0,0.0,/cfb/schools/alabama-birmingham/2012.html
Neal Sterling,23,WR,Monmouth,220.0,2013,11.0,28.0,302.0,2.0,0.0,0.0,0.0,/cfb/schools/alabama-birmingham/2013.html
Neal Sterling,23,WR,Monmouth,220.0,2014,12.0,39.0,399.0,3.0,0.0,0.0,0.0,/cfb/schools/alabama-birmingham/2014.html
Neal Sterling,23,WR,,,,9.0,0.0,0.0,0.0,,,,
Da'Ron Brown,23,WR,Northern Illinois,233.0,2011*,14.0,24.0,322.0,2.0,1.0,3.0,0.0,/cfb/schools/northern-illinois/2011.html
Da'Ron Brown,23,WR,Northern Illinois,233.0,2012*,14.0,17.0,156.0,2.0,4.0,4.0,1.0,/cfb/schools/northern-illinois/2012.html
Da'Ron Brown,23,WR,Northern Illinois,233.0,2013*,12.0,46.0,752.0,9.0,7.0,45.0,0.0,/cfb/schools/northern-illinois/2013.html
