name,position_x,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL,YPC,YPG,TDPG,RPG,Team_RPG,Team_YPG,Team_TDPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,position_y,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
Tandon Doss,WR,Indiana,123.0,2010.0,11.0,63.0,706.0,7.0,28.0,163.0,1.0,/cfb/schools/indiana/2010.html,11.206349206349206,64.18181818181819,0.6363636363636364,5.727272727272728,25.9,287.2,2.1,-15.984848484848484,-0.6893939393939394,0.2196969696969696,0.4166666666666667,6.416666666666667,80.16666666666667,21,WR,6.0,0.0,0.0,0.0
Kealoha Pilares,WR,Hawaii,132.0,2010.0,13.0,88.0,1306.0,15.0,0.0,0.0,0.0,/cfb/schools/hawaii/2010.html,14.840909090909092,100.46153846153848,1.1538461538461535,6.769230769230769,28.1,394.3,3.0,47.38461538461539,1.6923076923076923,0.846153846153846,0.3076923076923077,5.076923076923077,53.07692307692308,23,WR,8.0,2.0,42.0,1.0
Denarius Moore,WR,Tennessee,148.0,2010.0,13.0,47.0,981.0,9.0,7.0,82.0,1.0,/cfb/schools/tennessee/2010.html,20.872340425531917,75.46153846153847,0.6923076923076923,3.615384615384616,18.3,254.5,2.0,33.92307692307693,0.5384615384615383,0.1538461538461538,0.5384615384615384,3.076923076923077,41.53846153846154,22,WR,13.0,33.0,618.0,5.0
Jeremy Kerley,WR,TCU,153.0,2010.0,13.0,56.0,575.0,10.0,18.0,97.0,2.0,/cfb/schools/texas-christian/2010.html,10.267857142857142,44.23076923076923,0.7692307692307693,4.307692307692308,16.8,229.5,2.2,3.3076923076923137,0.9230769230769228,0.6153846153846154,0.1538461538461538,3.3846153846153846,40.92307692307692,22,WR,14.0,29.0,314.0,1.0
Niles Paul,WR,Nebraska,155.0,2010.0,12.0,39.0,516.0,1.0,5.0,14.0,0.0,/cfb/schools/nebraska/2010.html,13.23076923076923,43.0,0.0833333333333333,3.25,11.6,150.6,1.1,-13.857142857142854,0.3928571428571428,-0.2023809523809523,0.2857142857142857,2.857142857142857,56.85714285714285,22,WR,13.0,2.0,25.0,0.0
Ryan Whalen,WR,Stanford,167.0,2010.0,11.0,41.0,439.0,2.0,0.0,0.0,0.0,/cfb/schools/stanford/2010.html,10.707317073170731,39.90909090909091,0.1818181818181818,3.727272727272727,20.5,258.7,2.5,-31.32167832167832,-0.657342657342658,-0.1258741258741259,0.3076923076923077,4.384615384615385,71.23076923076923,22,WR,4.0,4.0,27.0,0.0
Dwayne Harris,WR,East Carolina,176.0,2010.0,13.0,101.0,1123.0,10.0,16.0,104.0,0.0,/cfb/schools/east-carolina/2010.html,11.11881188118812,86.38461538461539,0.7692307692307693,7.769230769230769,31.4,318.7,3.0,16.527472527472526,1.8406593406593403,0.2692307692307693,0.5,5.928571428571429,69.85714285714286,23,WR,16.0,17.0,222.0,1.0
Aldrick Robinson,WR,SMU,178.0,2010.0,14.0,65.0,1301.0,14.0,0.0,0.0,0.0,/cfb/schools/southern-methodist/2010.html,20.015384615384612,92.92857142857144,1.0,4.642857142857143,21.7,275.8,2.2,31.39010989010989,1.0274725274725278,0.6153846153846154,0.3846153846153846,3.615384615384616,61.53846153846154,22,WR,15.0,11.0,237.0,3.0
David Ausberry,WR,USC,241.0,2010.0,13.0,20.0,252.0,4.0,2.0,14.0,0.0,/cfb/schools/southern-california/2010.html,12.6,19.384615384615383,0.3076923076923077,1.5384615384615383,21.5,242.2,2.2,1.8131868131868103,-0.1758241758241756,0.3076923076923077,0.0,1.7142857142857142,17.571428571428573,23,WR,12.0,2.0,14.0,0.0
DeMarco Sampson,WR,San Diego St.,249.0,2010.0,13.0,67.0,1220.0,8.0,4.0,11.0,0.0,/cfb/schools/san-diego-state/2010.html,18.2089552238806,93.84615384615384,0.6153846153846154,5.153846153846154,18.8,295.4,2.2,22.929487179487168,-0.0128205128205127,-0.0512820512820512,0.6666666666666666,5.166666666666667,70.91666666666667,25,WR,12.0,3.0,36.0,0.0
