name,school,draft_pick,season,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,YPG,TDPG,RPG,YPG_diff,RPG_diff,TDPG_diff,second_last_TDPG,second_last_RPG,second_last_YPG,age,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS,Yards_percentage,Receptions_Percentage,TD_Percentage,nfl_YPG,nfl_TDPG,nfl_RPG
Antonio Callaway,Florida,105.0,2016.0,54.0,721.0,3.0,5.0,32.0,1.0,60.083333333333336,0.25,4.5,11.654761904761903,2.0,-0.0357142857142857,0.2857142857142857,2.5,48.42857142857143,21,16.0,43.0,586.0,5.0,0.2784213778189682,0.020852641334569044,0.17857142857142858,36.625,0.3125,2.6875
DaeSean Hamilton,Penn St.,113.0,2017.0,53.0,857.0,9.0,1.0,2.0,0.0,65.92307692307692,0.6923076923076923,4.076923076923077,29.78021978021977,1.6483516483516485,0.6208791208791209,0.0714285714285714,2.4285714285714284,36.142857142857146,23,14.0,30.0,243.0,2.0,0.2271642898796586,0.014048666702009225,0.27692307692307694,17.357142857142858,0.14285714285714285,2.142857142857143
Jaleel Scott,New Mexico St.,132.0,2017.0,76.0,1079.0,9.0,0.0,0.0,0.0,83.0,0.6923076923076923,5.846153846153846,59.41666666666667,3.929487179487179,0.2756410256410256,0.4166666666666667,1.9166666666666667,23.58333333333333,23,3.0,1.0,6.0,0.0,0.24397413286302175,0.017184461628906075,0.31468531468531463,2.0,0.0,0.3333333333333333
J'Mon Moore,Missouri,133.0,2017.0,65.0,1082.0,10.0,0.0,0.0,0.0,83.23076923076923,0.7692307692307693,5.0,-1.1025641025641022,-0.1666666666666669,0.1025641025641026,0.6666666666666666,5.166666666666667,84.33333333333333,23,12.0,2.0,15.0,0.0,0.2697043721022982,0.016202203499675955,0.22624434389140274,1.25,0.0,0.16666666666666666
Justin Watson,Pennsylvania,144.0,2017.0,22.0,212.0,3.0,0.0,0.0,0.0,16.307692307692307,0.2307692307692307,1.6923076923076923,-0.76923076923077,-0.0769230769230768,0.1538461538461538,0.0769230769230769,1.7692307692307692,17.076923076923077,22,12.0,1.0,5.0,0.0,0.08753458028820346,0.009083777199719228,0.1442307692307692,0.4166666666666667,0.0,0.08333333333333333
Daurice Fountain,Northern Iowa,159.0,2017.0,35.0,504.0,5.0,0.0,0.0,0.0,63.0,0.625,4.375,19.92307692307692,1.1442307692307692,0.1634615384615384,0.4615384615384615,3.230769230769231,43.07692307692308,22,1.0,0.0,0.0,0.0,0.24638247946812672,0.0171098944075088,0.2976190476190476,0.0,0.0,0.0
Marquez Valdes-Scantling,South Florida,174.0,2017.0,53.0,879.0,6.0,8.0,108.0,1.0,73.25,0.5,4.416666666666667,41.32692307692308,2.7243589743589745,0.1153846153846153,0.3846153846153846,1.6923076923076923,31.923076923076923,23,16.0,38.0,581.0,2.0,0.29429489754921656,0.0177447435382349,0.23809523809523808,36.3125,0.125,2.375
Damion Ratley,Texas A&M,175.0,2017.0,30.0,694.0,6.0,0.0,0.0,0.0,53.38461538461539,0.4615384615384615,2.3076923076923075,51.02097902097902,2.125874125874126,0.4615384615384615,0.0,0.1818181818181818,2.363636363636364,23,13.0,13.0,144.0,0.0,0.21251837334639884,0.009186673199412052,0.27149321266968324,11.076923076923077,0.0,1.0
Deon Cain,Clemson,185.0,2017.0,58.0,734.0,6.0,0.0,0.0,0.0,52.42857142857143,0.4285714285714285,4.142857142857143,4.161904761904765,1.60952380952381,-0.1714285714285714,0.6,2.533333333333333,48.266666666666666,22,13.0,9.0,124.0,0.0,0.2226266302699424,0.01759175007582651,0.3571428571428571,9.538461538461538,0.0,0.6923076923076923
Ray-Ray McCloud,Clemson,187.0,2017.0,49.0,503.0,1.0,6.0,30.0,0.0,35.92857142857143,0.0714285714285714,3.5,2.2142857142857157,0.0,-0.0714285714285714,0.1428571428571428,3.5,33.714285714285715,21,10.0,5.0,36.0,0.0,0.15256293600242646,0.014861995753715499,0.0595238095238095,3.6,0.0,0.5
Equanimeous St. Brown,Notre Dame,207.0,2017.0,33.0,515.0,4.0,0.0,0.0,0.0,39.61538461538461,0.3076923076923077,2.5384615384615383,-40.46794871794872,-2.2948717948717947,-0.4423076923076923,0.75,4.833333333333333,80.08333333333333,21,12.0,21.0,328.0,0.0,0.22143870662596205,0.014189276346906306,0.20512820512820515,27.333333333333332,0.0,1.75
