name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,pass_yds_pg,pass_tds_pg,pass_int_pg,rush_yds_pg,rush_tds_pg,completion_pct,pass_rating,yards_per_attempt,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_passingYDS,nfl_passingTDS,nfl_passingINT,nfl_rushingYDS,nfl_rushingTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
Cody Kessler,QB,USC,23,93,2015.0,14,Big Ten,0,0,1,0,0,252.57142857142858,2.0714285714285716,0.5,-10.642857142857142,0.2857142857142857,66.8,151.7,7.928251121076233,31.857142857142858,3387,33.0,241.92857142857142,2.357142857142857,7.5941704035874436,-40.686813186813225,-0.7967032967032965,4.543294782270004,0.10369516947304253,9.0,1380.0,6.0,2.0,18.0,0.0,77.0,1,0,0,0
Cole McDonald,QB,Hawaii,22,224,2019.0,14,Other,0,0,0,1,0,295.35714285714283,2.357142857142857,1.0,27.357142857142858,0.5,63.8,147.6,8.09197651663405,36.5,4518,40.0,322.7142857142857,2.857142857142857,8.841487279843445,-2.978021978021957,-0.2197802197802199,5.41610040220442,0.0668153104781061,,,,,,,0.0,1,0,0,0
Connor Cook,QB,Michigan St.,23,100,2015.0,13,Big Ten,0,0,1,0,0,240.84615384615384,1.8461538461538463,0.5384615384615384,4.3076923076923075,0.0,56.1,136.6,7.674019607843137,31.384615384615383,3187,24.0,245.15384615384616,1.8461538461538463,7.811274509803922,-8.230769230769226,-0.15384615384615374,4.61512051684126,0.1,,,,,,,0.0,1,0,0,0
Dak Prescott,QB,Mississippi St.,23,135,2015.0,13,SEC,0,0,0,0,1,291.7692307692308,2.230769230769231,0.38461538461538464,45.23076923076923,0.7692307692307693,66.2,151.0,7.951781970649895,36.69230769230769,4381,39.0,337.0,3.0,9.184486373165619,-4.153846153846132,-0.15384615384615374,4.912654885736052,0.08606629658238704,16.0,3667.0,23.0,4.0,282.0,6.0,294.88,1,0,0,0
Daniel Jones,QB,Duke,22,6,2018.0,11,ACC,1,0,0,0,0,243.0909090909091,2.0,0.8181818181818182,29.0,0.2727272727272727,60.5,131.7,6.821428571428571,35.63636363636363,2993,25.0,272.09090909090907,2.272727272727273,7.635204081632653,25.244755244755225,0.6573426573426575,1.9459101490553132,0.4082482904638631,13.0,3027.0,24.0,12.0,279.0,2.0,232.98,1,0,0,0
Danny Etling,QB,LSU,24,219,2017.0,13,SEC,0,0,0,0,1,189.46153846153845,1.2307692307692308,0.15384615384615385,9.846153846153847,0.15384615384615385,60.0,153.0,8.956363636363637,21.153846153846153,2591,18.0,199.30769230769232,1.3846153846153846,9.421818181818182,2.125874125874134,0.29370629370629375,5.393627546352362,0.06757373783994859,,,,,,,0.0,1,0,0,0
Davis Mills,QB,Stanford,22,67,2020.0,5,Other,0,0,0,1,0,301.6,1.4,0.6,7.4,0.6,66.2,139.9,7.733333333333333,39.0,1545,10.0,309.0,2.0,7.9230769230769225,58.5,0.625,4.219507705176107,0.12216944435630522,13.0,2664.0,16.0,10.0,44.0,0.0,154.96,1,0,0,0
Davis Webb,QB,California,22,87,2016.0,12,Other,0,0,0,1,0,357.9166666666667,3.0833333333333335,1.0,-9.166666666666666,0.5,61.6,135.6,6.92741935483871,51.666666666666664,4185,43.0,348.75,3.5833333333333335,6.75,287.55,2.783333333333333,4.477336814478207,0.10721125348377948,,,,,,,0.0,1,0,0,0
DeShone Kizer,QB,Notre Dame,21,52,2016.0,12,Other,0,0,0,1,0,243.75,2.1666666666666665,0.75,39.333333333333336,0.6666666666666666,58.7,145.6,8.102493074792244,30.083333333333332,3397,34.0,283.0833333333333,2.8333333333333335,9.409972299168976,21.237179487179446,0.4487179487179489,3.970291913552122,0.1386750490563073,15.0,2894.0,11.0,22.0,419.0,5.0,187.66,1,0,0,0
Deshaun Watson,QB,Clemson,21,12,2016.0,15,ACC,1,0,0,0,0,306.2,2.7333333333333334,1.1333333333333333,41.93333333333333,0.6,67.0,151.1,7.932642487046632,38.6,5222,50.0,348.1333333333333,3.3333333333333335,9.018998272884284,0.8666666666666742,0.20000000000000018,2.5649493574615367,0.2886751345948129,7.0,1699.0,19.0,8.0,269.0,2.0,166.86,1,0,0,0
