name,position,school,age,draft_pick,season,college_games,conference,conference_ACC,conference_Big 12,conference_Big Ten,conference_Other,conference_SEC,rush_att_pg,rush_yds_pg,rush_tds_pg,rec_pg,rec_yds_pg,rec_tds_pg,rush_yards_per_att,volume_pg,total_yards,total_tds,scrimmage_yds_pg,tds_pg,yards_per_touch,latest_vs_prev_yards_pg,latest_vs_prev_tds_pg,draft_pick_log,draft_pick_inverse,nfl_games,nfl_rushingYDS,nfl_rushingTDS,nfl_recs,nfl_recYDS,nfl_recTDS,fantasy_points,position_QB,position_RB,position_WR,position_TE
Keaontay Ingram,RB,USC,22,201.0,2021.0,10.0,Big Ten,0,0,1,0,0,15.6,91.1,0.5,2.2,15.6,0.0,5.839743589743589,17.8,1067.0,5.0,106.7,0.5,5.9943820224719095,47.86666666666667,0.16666666666666669,5.308267697401205,0.07053456158585983,12.0,60.0,1.0,4.0,21.0,0.0,18.1,0,1,0,0
Keenan Reynolds,RB,Navy,22,182.0,2015.0,13.0,Other,0,0,0,1,0,20.384615384615383,105.61538461538461,1.8461538461538463,0.07692307692307693,3.6153846153846154,0.0,5.181132075471698,20.46153846153846,1420.0,24.0,109.23076923076923,1.8461538461538463,5.338345864661654,0.9580419580419601,-0.24475524475524457,5.209486152841421,0.07412493166611012,,,,,,,0.0,0,1,0,0
Keilan Robinson,RB,Texas,24,167.0,2023.0,13.0,SEC,0,0,0,0,1,0.9230769230769231,10.307692307692308,0.23076923076923078,0.6153846153846154,4.3076923076923075,0.0,11.166666666666666,1.5384615384615385,190.0,3.0,14.615384615384615,0.23076923076923078,9.5,-8.846153846153845,0.0,5.123963979403259,0.07738232325341368,,,,,,,0.0,0,1,0,0
Keith Marshall,RB,Georgia,22,242.0,2015.0,11.0,SEC,0,0,0,0,1,6.181818181818182,31.818181818181817,0.2727272727272727,0.36363636363636365,2.5454545454545454,0.09090909090909091,5.147058823529412,6.545454545454546,378.0,4.0,34.36363636363637,0.36363636363636365,5.249999999999999,28.030303030303035,0.36363636363636365,5.493061443340548,0.0642824346533225,,,,,,,0.0,0,1,0,0
Kelvin Taylor,RB,Florida,22,211.0,2015.0,14.0,SEC,0,0,0,0,1,18.5,73.92857142857143,0.9285714285714286,1.2142857142857142,10.714285714285714,0.0,3.996138996138996,19.714285714285715,1185.0,13.0,84.64285714285714,0.9285714285714286,4.2934782608695645,38.226190476190474,0.4285714285714286,5.356586274672012,0.06884283908215143,,,,,,,0.0,0,1,0,0
Kendre Miller,RB,TCU,21,71.0,2022.0,14.0,Big 12,0,1,0,0,0,16.0,99.92857142857143,1.2142857142857142,1.1428571428571428,8.285714285714286,0.0,6.245535714285714,17.142857142857142,1515.0,17.0,108.21428571428571,1.2142857142857142,6.3125,34.21428571428571,0.41428571428571415,4.276666119016055,0.11867816581938533,8.0,156.0,1.0,10.0,117.0,0.0,43.300000000000004,0,1,0,0
Kene Nwangwu,RB,Iowa St.,23,119.0,2020.0,12.0,Big 12,0,1,0,0,0,5.083333333333333,28.25,0.3333333333333333,0.25,1.8333333333333333,0.0,5.557377049180328,5.333333333333333,361.0,4.0,30.083333333333332,0.3333333333333333,5.640625,20.62179487179487,0.3333333333333333,4.787491742782046,0.09166984970282113,11.0,61.0,0.0,4.0,9.0,0.0,11.000000000000002,0,1,0,0
Kenneth Dixon,RB,Louisiana Tech,22,134.0,2015.0,11.0,Other,0,0,0,1,0,17.90909090909091,97.27272727272727,1.7272727272727273,3.090909090909091,42.45454545454545,0.6363636363636364,5.431472081218274,21.0,1537.0,26.0,139.72727272727272,2.3636363636363638,6.653679653679654,19.441558441558428,0.36363636363636376,4.90527477843843,0.08638684255813601,12.0,382.0,2.0,30.0,162.0,1.0,102.4,0,1,0,0
Kenneth Gainwell,RB,Memphis,22,150.0,2019.0,14.0,Other,0,0,0,1,0,16.5,104.21428571428571,0.9285714285714286,3.642857142857143,43.57142857142857,0.21428571428571427,6.316017316017316,20.142857142857142,2069.0,16.0,147.78571428571428,1.1428571428571428,7.336879432624114,112.03571428571428,0.8928571428571428,5.017279836814924,0.08164965809277261,16.0,291.0,5.0,33.0,253.0,1.0,123.39999999999999,0,1,0,0
Kenneth Walker III,RB,Michigan St.,21,41.0,2021.0,12.0,Big Ten,0,0,1,0,0,21.916666666666668,136.33333333333334,1.5,1.0833333333333333,7.416666666666667,0.08333333333333333,6.220532319391635,23.0,1725.0,19.0,143.75,1.5833333333333333,6.25,67.625,-0.04166666666666674,3.7376696182833684,0.15617376188860607,15.0,1050.0,9.0,27.0,165.0,0.0,202.5,0,1,0,0
