mae,rmse,r2,spearman,top10_overlap,position,target,model,family
0.6880111362610237,0.897052256840259,0.10248576324832886,0.19952528235327086,0.65,RB,nfl_recTDS,extra_trees,bagging_tree
0.6913701923783806,0.9089806742072126,0.09885465204018995,0.19027322192333967,0.6499999999999999,RB,nfl_recTDS,gradient_boosting,boosted_tree
0.6929493660900613,0.906414918125581,0.09410218988264779,0.1505825719379411,0.65,RB,nfl_recTDS,random_forest,bagging_tree
0.7097319618744009,0.9655673779940195,0.008067167500637351,0.14319402890310703,0.6499999999999999,RB,nfl_recTDS,xgboost_cuda,boosted_tree
0.720532198746999,0.9771191901292915,-0.07014649424497177,0.11872267369544214,0.65,RB,nfl_recTDS,mlp,neural_net
43.36591200282043,55.16715813925755,0.32112147472765634,0.6588466344981092,0.8,RB,fantasy_points,extra_trees,bagging_tree
44.80332316182708,56.62705576513153,0.3315666306649173,0.5795490929705737,0.75,RB,fantasy_points,ridge,linear
50.271157793413124,65.71553271657476,0.09488966561631157,0.5744177391263682,0.6499999999999999,RB,fantasy_points,residual_mlp,neural_net
44.27269898153301,58.00856102908115,0.28051697088747807,0.5725922033941823,0.75,RB,fantasy_points,random_forest,bagging_tree
44.82528830882292,56.76265772193703,0.3297586012984418,0.5725192051368115,0.75,RB,fantasy_points,elastic_net,linear
48.21234919503273,60.921959837815024,0.2176918174996303,0.5403309100255915,0.75,RB,fantasy_points,gradient_boosting,boosted_tree
50.610618517691634,66.67127691773064,0.06233760723470805,0.5289803405530987,0.75,RB,fantasy_points,mlp,neural_net
47.12098183102078,60.94174065871216,0.20000430243596212,0.5281130667899397,0.7,RB,fantasy_points,xgboost_cuda,boosted_tree
54.57368421052632,76.59555928218134,-0.04884801574902509,,0.5,RB,fantasy_points,median,baseline
15.089169903777464,21.470189579898694,0.4015868724732428,0.6609340458098092,0.8,WR,nfl_recs,residual_mlp,neural_net
16.15296984037117,23.17820542017037,0.2939415802162892,0.6644520990592058,0.8,WR,nfl_recs,mlp,neural_net
16.57111342277984,23.042390961914414,0.3018056340161572,0.6512276941610614,0.75,WR,nfl_recs,extra_trees,bagging_tree
16.627012349914487,24.227469750748718,0.23197382386033166,0.5917545106485784,0.7,WR,nfl_recs,elastic_net,linear
16.64970768741246,24.236332754962376,0.23113296974912245,0.592530362388425,0.7,WR,nfl_recs,ridge,linear
16.831895589700032,23.066942026267284,0.3085864648955073,0.6453318283630849,0.75,WR,nfl_recs,random_forest,bagging_tree
17.18049104597126,23.633060897928864,0.2788559141460696,0.624594836848156,0.6,WR,nfl_recs,gradient_boosting,boosted_tree
17.598145097726178,23.940964667778942,0.25783360620731605,0.6276207622668342,0.6,WR,nfl_recs,xgboost_cuda,boosted_tree
23.122358175750833,32.17610012641046,-0.32900490498815316,,0.5,WR,nfl_recs,median,baseline
205.49153646399103,293.0555352608173,0.33850210320207624,0.6266934599749354,0.7,WR,nfl_recYDS,residual_mlp,neural_net
205.5996529285893,295.34000413259207,0.31661127945258377,0.6484444708314081,0.7,WR,nfl_recYDS,extra_trees,bagging_tree
206.39680032019356,303.454367153799,0.27676057153466127,0.5982485733572345,0.65,WR,nfl_recYDS,mlp,neural_net
212.6627167574942,301.65997307485065,0.29199525852345587,0.6358321384706069,0.6499999999999999,WR,nfl_recYDS,random_forest,bagging_tree
213.11206125860738,309.56804266315976,0.26324516264156783,0.6184400617873373,0.6,WR,nfl_recYDS,gradient_boosting,boosted_tree
216.0503337821296,319.8391847244694,0.1898301384353398,0.5667366022897389,0.65,WR,nfl_recYDS,ridge,linear
216.23898845977908,320.0147858029061,0.1888408035060014,0.5667366022897389,0.65,WR,nfl_recYDS,elastic_net,linear
219.92445923462594,313.2924954389596,0.23536116396529405,0.5795735123567483,0.6,WR,nfl_recYDS,xgboost_cuda,boosted_tree
297.48164627363735,413.2379202043536,-0.29478327437149376,,0.45,WR,nfl_recYDS,median,baseline
1.9104844230003801,2.5353330671519183,0.20548968296982856,0.4863671682422323,0.65,WR,nfl_recTDS,extra_trees,bagging_tree
1.9399051100824416,2.5388828171039575,0.20501058932372224,0.43914199958110484,0.65,WR,nfl_recTDS,random_forest,bagging_tree
1.9709054415297587,2.6277998948673016,0.14802312950279783,0.41793203999165984,0.55,WR,nfl_recTDS,xgboost_cuda,boosted_tree
1.9744015851327834,2.662368592285959,0.13662103515575003,0.39043834152766294,0.65,WR,nfl_recTDS,gradient_boosting,boosted_tree
1.9986348334156387,2.6219224852821825,0.13822999631255056,0.44988754914184376,0.7,WR,nfl_recTDS,elastic_net,linear
1.999150745315044,2.6228817509409303,0.13498721577057243,0.4513487236248363,0.7,WR,nfl_recTDS,ridge,linear
2.0058523253087075,2.668661741392458,0.11833987109590743,0.416032518776805,0.6000000000000001,WR,nfl_recTDS,mlp,neural_net
2.0180753427034492,2.65573749943821,0.1287006941858102,0.4449697511218531,0.6499999999999999,WR,nfl_recTDS,residual_mlp,neural_net
2.2830923248053394,3.2343791556023556,-0.2684853957242973,,0.5,WR,nfl_recTDS,median,baseline
44.77494699139248,62.76869858171828,0.3212485406590169,0.6584304758724602,0.7,WR,fantasy_points,extra_trees,bagging_tree
45.41544404099969,65.35263360469222,0.26258406702603165,0.6577315763796729,0.6499999999999999,WR,fantasy_points,mlp,neural_net
46.424302278701255,63.76176647432096,0.3050357936025299,0.6182283911744046,0.6499999999999999,WR,fantasy_points,random_forest,bagging_tree
46.8422199414057,66.65491622346786,0.2474417016398125,0.6122125304978991,0.6,WR,fantasy_points,xgboost_cuda,boosted_tree
46.12575020809633,64.3194935334641,0.2995790016824742,0.6044546661938545,0.6,WR,fantasy_points,gradient_boosting,boosted_tree
44.743172652931776,64.24710452190854,0.288429150384702,0.604080090107926,0.65,WR,fantasy_points,residual_mlp,neural_net
45.75945724338982,67.46827029269738,0.20537576469856333,0.5794131721936172,0.65,WR,fantasy_points,ridge,linear
45.77318991319214,67.47360000332773,0.2053151301099126,0.5794131721936172,0.65,WR,fantasy_points,elastic_net,linear
63.297334558823536,90.6911455333398,-0.36758600026760924,,0.4,WR,fantasy_points,median,baseline
13.654852604116943,20.68928203043133,0.44624494281145866,0.6321975096006152,0.9,TE,nfl_recs,extra_trees,bagging_tree
14.213938717784018,22.187558649736893,0.3665212375541758,0.5880475530742197,0.9,TE,nfl_recs,random_forest,bagging_tree
14.684268158238933,22.394036023321075,0.3454156335170461,0.6527106938995484,0.9,TE,nfl_recs,gradient_boosting,boosted_tree
14.9182389830098,22.591108561816196,0.3316672990605515,0.5344668719726675,0.9,TE,nfl_recs,xgboost_cuda,boosted_tree
15.383094422744982,26.11548909636511,0.12238072262542571,0.5717830977853899,0.9,TE,nfl_recs,residual_mlp,neural_net
15.416051308124118,23.395152585994367,0.3046527723790726,0.514284763455241,0.8500000000000001,TE,nfl_recs,ridge,linear
15.529409758121563,23.360875914735484,0.30764633287781956,0.514284763455241,0.8500000000000001,TE,nfl_recs,elastic_net,linear
16.42569273529631,26.187406487367355,0.11531902638565278,0.49205623945920396,0.9,TE,nfl_recs,mlp,neural_net
18.897727272727273,31.56564210044492,-0.27238551685090406,,0.9,TE,nfl_recs,median,baseline
136.3023692606501,193.37999721653534,0.5507159856231123,0.5430069930069932,0.9,TE,nfl_recYDS,extra_trees,bagging_tree
140.21353147566765,199.0225234377589,0.5304180365388109,0.5,0.9,TE,nfl_recYDS,random_forest,bagging_tree
148.61915461222333,212.50160600700684,0.44068483287112536,0.5430069930069932,0.9,TE,nfl_recYDS,xgboost_cuda,boosted_tree
152.08794680582503,221.08877062984328,0.4093493036496679,0.5374125874125875,0.9,TE,nfl_recYDS,gradient_boosting,boosted_tree
158.21184957159477,226.2728989834147,0.4007953983072484,0.46888111888111894,0.8500000000000001,TE,nfl_recYDS,ridge,linear
158.31029794031372,225.08641726618953,0.40857097602137954,0.46888111888111894,0.8500000000000001,TE,nfl_recYDS,elastic_net,linear
176.1661878932606,268.5452480919919,0.14072086601324263,0.44580419580419584,0.9,TE,nfl_recYDS,mlp,neural_net
178.03384428313285,271.3189656230006,0.11939828003059955,0.3157342657342658,0.8500000000000001,TE,nfl_recYDS,residual_mlp,neural_net
194.6969696969697,323.70325095983947,-0.2392840483764912,,0.9,TE,nfl_recYDS,median,baseline
1.0954906439264311,1.68634885028007,0.37808130712041027,0.632379403757111,0.8500000000000001,TE,nfl_recTDS,random_forest,bagging_tree
1.1005261705228777,2.0190694458051253,0.09798311934823711,0.5307409479527311,0.9,TE,nfl_recTDS,mlp,neural_net
1.1112710605783314,1.7098931511260917,0.35267445287887883,0.6482909030964238,0.8500000000000001,TE,nfl_recTDS,extra_trees,bagging_tree
1.189463006477677,1.784613768297892,0.2965143014515484,0.5339273755648704,0.9,TE,nfl_recTDS,elastic_net,linear
1.2002331275378428,1.865368943398638,0.25159246721635653,0.6227798407306127,0.9,TE,nfl_recTDS,gradient_boosting,boosted_tree
1.2057449276066101,1.8090574043227534,0.2752996665424914,0.5339273755648704,0.9,TE,nfl_recTDS,ridge,linear
1.212121212121212,2.1797292246174305,-0.05843622455527908,,0.8500000000000001,TE,nfl_recTDS,median,baseline
1.2279869209636343,1.8288050281082433,0.27499578230993427,0.5940214318411983,0.9,TE,nfl_recTDS,xgboost_cuda,boosted_tree
1.3494652139418053,2.12729827685265,-0.023375539710291715,0.2505142376006378,0.8500000000000001,TE,nfl_recTDS,residual_mlp,neural_net
32.91673536223581,49.42465510649234,0.4362801020334402,0.6766342539924595,0.8,TE,fantasy_points,gradient_boosting,boosted_tree
30.271087416329927,44.87291358755766,0.5359112794261927,0.672604606559495,0.8,TE,fantasy_points,extra_trees,bagging_tree
31.71219146361495,46.27558435845454,0.5098773399586736,0.6600189130756877,0.8,TE,fantasy_points,random_forest,bagging_tree
33.653384078343706,50.162817247247986,0.42896674597101203,0.6273933510288465,0.8,TE,fantasy_points,mlp,neural_net
33.30727100971647,49.18149416460915,0.44508844530106123,0.6269071459735595,0.8500000000000001,TE,fantasy_points,ridge,linear
33.43426587659943,49.090900845166885,0.4466207436301139,0.6073569978423545,0.8500000000000001,TE,fantasy_points,elastic_net,linear
34.34688172022502,52.11933867030011,0.36079738783480464,0.5853990575879893,0.75,TE,fantasy_points,xgboost_cuda,boosted_tree
37.19468590100607,54.40646001306955,0.317038892674118,0.4630109758087074,0.75,TE,fantasy_points,residual_mlp,neural_net
41.76916666666666,71.67984099683599,-0.16670684492425325,,0.8,TE,fantasy_points,median,baseline
45.009941061945455,62.35450253940581,0.40124144571427856,0.6337571401102446,0.5,ALL,fantasy_points,extra_trees,bagging_tree
45.79688419967225,63.4513169344677,0.3784134033123796,0.6150988004436111,0.5,ALL,fantasy_points,random_forest,bagging_tree
44.89375870552612,61.68568874452326,0.4102349077275875,0.6115507151361184,0.6,ALL,fantasy_points,ridge,linear
44.9503031037796,61.85344388347157,0.40716523943104677,0.6110302417255064,0.6,ALL,fantasy_points,elastic_net,linear
44.268418226744004,61.15541332304828,0.4268233966164768,0.604743767512366,0.6,ALL,fantasy_points,residual_mlp,neural_net
43.79558948416458,63.62596325500084,0.37535746592722846,0.5876170789590875,0.5,ALL,fantasy_points,mlp,neural_net
45.22600260834945,63.07472384287452,0.389216672850291,0.5862668215826642,0.45,ALL,fantasy_points,xgboost_cuda,boosted_tree
45.640384041290574,63.38400407703092,0.38216386129869784,0.5726899962294072,0.5,ALL,fantasy_points,gradient_boosting,boosted_tree
58.52184210526317,89.06378346409116,-0.21918775462219053,,0.1,ALL,fantasy_points,median,baseline
