name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Vincent Brown,22,WR,San Diego St.,82.0,2007,12.0,31.0,349.0,2.0,0.0,0.0,0.0,/cfb/schools/san-diego-state/2007.html
Vincent Brown,22,WR,San Diego St.,82.0,2008,12.0,64.0,631.0,5.0,3.0,37.0,0.0,/cfb/schools/san-diego-state/2008.html
Vincent Brown,22,WR,San Diego St.,82.0,2009,7.0,45.0,778.0,6.0,3.0,10.0,0.0,/cfb/schools/san-diego-state/2009.html
Vincent Brown,22,WR,San Diego St.,82.0,2010*,13.0,69.0,1352.0,10.0,1.0,-13.0,0.0,/cfb/schools/san-diego-state/2010.html
Vincent Brown,22,WR,,,,14.0,19.0,329.0,2.0,,,,
Jerrel Jernigan,22,WR,Troy,83.0,2007,12.0,30.0,337.0,3.0,14.0,50.0,0.0,/cfb/schools/troy/2007.html
Jerrel Jernigan,22,WR,Troy,83.0,2008*,12.0,77.0,868.0,5.0,33.0,254.0,1.0,/cfb/schools/troy/2008.html
Jerrel Jernigan,22,WR,Troy,83.0,2009*,13.0,71.0,1101.0,4.0,40.0,266.0,1.0,/cfb/schools/troy/2009.html
Jerrel Jernigan,22,WR,Troy,83.0,2010*,13.0,84.0,822.0,6.0,45.0,322.0,3.0,/cfb/schools/troy/2010.html
Jerrel Jernigan,22,WR,,,,8.0,0.0,0.0,0.0,,,,
Kris Durham,23,WR,Georgia,107.0,2006*,13.0,8.0,82.0,0.0,0.0,0.0,0.0,/cfb/schools/georgia/2006.html
Kris Durham,23,WR,Georgia,107.0,2007*,13.0,11.0,169.0,0.0,0.0,0.0,0.0,/cfb/schools/georgia/2007.html
Kris Durham,23,WR,Georgia,107.0,2008*,10.0,13.0,199.0,1.0,0.0,0.0,0.0,/cfb/schools/georgia/2008.html
Kris Durham,23,WR,Georgia,107.0,2010*,11.0,32.0,659.0,3.0,0.0,0.0,0.0,/cfb/schools/georgia/2010.html
Kris Durham,23,WR,,,,3.0,3.0,30.0,0.0,,,,
Clyde Gates,25,WR,Abilene Christian,111.0,2006*,13.0,8.0,82.0,0.0,0.0,0.0,0.0,/cfb/schools/georgia/2006.html
Clyde Gates,25,WR,Abilene Christian,111.0,2007*,13.0,11.0,169.0,0.0,0.0,0.0,0.0,/cfb/schools/georgia/2007.html
Clyde Gates,25,WR,Abilene Christian,111.0,2008*,10.0,13.0,199.0,1.0,0.0,0.0,0.0,/cfb/schools/georgia/2008.html
Clyde Gates,25,WR,Abilene Christian,111.0,2010*,11.0,32.0,659.0,3.0,0.0,0.0,0.0,/cfb/schools/georgia/2010.html
Clyde Gates,25,WR,,,,15.0,2.0,19.0,0.0,,,,
