player_name,position,college_receiving_yards
Aidan Mizell,WR,202
Justus Ross-Simmons,WR,202
Israel Polk,WR,201
Caullin Lacy,WR,196
Jeremiah Patterson,WR,196
Parker Kingston,WR,196
Alex Perry,WR,195
Elijah Metcalf,WR,194
Tyler Griffin,WR,193
Tyler Savage,WR,193
Jaron Glover,WR,192
Joshua Manning,WR,192
Kordell David,WR,191
Sterling Berkhalter,WR,191
Cam'ron Lacy,WR,190
Daejon Reynolds,WR,189
Jaedn Skeete,WR,189
Hykeem Williams,WR,187
Loic Fouonji,WR,187
Rico Flores Jr.,WR,187
Sebastian Macaluso,WR,187
Jesse Prewitt III,WR,186
Maliq Carr,WR,186
Dante Cephas,WR,184
Corey Dyches,WR,181
Vandrevius Jacobs,WR,181
Blake Nowell,WR,179
Corey Smith,WR,179
Iverson Hooks,WR,179
Jaden Smith,WR,177
Brandon Inniss,WR,176
Finn Hogan,WR,176
Javon Cambell,WR,176
Julian Fleming,WR,176
Reece Vander Zee,WR,176
Jaden Bradley,WR,173
Davis Dalton,WR,172
Montana Lemonious-Craig,WR,172
Antonio Jones,WR,170
Marlyn Johnson,WR,169
Artis Cole,WR,168
Tavion Smith,WR,168
Jayden Thomas,WR,167
Bralon Brown,WR,166
Kamryn Perry,WR,166
Tailique Williams,WR,165
Chase Penry,WR,164
Christian Dremel,WR,162
DJ Allen,WR,161
Shaleak Knotts,WR,161
Tre Spivey,WR,160
Christian Hamilton,WR,159
Caleb Gossett,WR,158
Marcus Sanders Jr.,WR,158
Terrell Anderson,WR,158
Ben Black,WR,157
Adam Randall,WR,155
Kentron Poitier,WR,155
Robert Lewis,WR,155
Jaden Robinson,WR,154
Hardley Gilmore IV,WR,153
Zyell Griffin,WR,151
Michael Harrison,WR,150
Cataurus Hicks,WR,149
Colbie Young,WR,149
Jordan Brown,WR,149
Donte Lee Jr.,WR,148
Thomas Zsiros,WR,148
Marcello Bussey,WR,147
Jordan McCants,WR,146
Tychaun Chapman,WR,146
Tre Shackelford,WR,144
Michael Mathison,WR,143
Carson Brown,WR,141
Da'Wain Lofton,WR,140
Jordin Parker,WR,140
Josh Cobbs,WR,140
Semaj Morgan,WR,139
Grayson Tempest,WR,138
Rashid Williams,WR,138
Trace Bruckler,WR,138
Dazmin James,WR,137
Jay Jay Etheridge,WR,137
Johntay Cook II,WR,137
Casey Cain,WR,136
Chris Culliver,WR,135
Romello Brinson,WR,135
Anthony Eager,WR,133
Logan Kyle,WR,132
Preston Fox,WR,131
Richie Hoskins,WR,131
Kobe Prentice,WR,129
Frederick Moore,WR,128
Tadd Barr,WR,128
Zion Kearney,WR,128
Devan Williams,WR,127
Nick Rempert,WR,127
Eric Holley,WR,126
Fred Farrier II,WR,126
Hayes Sutton,WR,126
Perry Thompson,WR,126
Thai Chiaokhiao-Bowman,WR,125
Tobias Merriweather,WR,125
Tony Freeman,WR,125
Keenan Jackson,WR,124
Caleb Coombs,WR,123
Gamarion Carter,WR,123
Jaden Dottin,WR,123
Jyaire Shorter,WR,123
Micah Hudson,WR,123
Daidren Zipperer,WR,122
Abdul-Fatai Ibrahim,WR,121
Bryce Bohanon,WR,121
Chas Nimrod,WR,121
CJ Johnson II,WR,121
Mason Starling,WR,121
Sean Wilson,WR,121
Dahya Patel,WR,120
Kajiya Hollawayne,WR,120
Malick Meiga,WR,117
Hunter Summers,WR,116
Jamel Hardy,WR,116
Eli Green,WR,115
Jordan Shipp,WR,114
Kameron Courtney,WR,114
Ja'Cyais Credle,WR,113
Shamar Porter,WR,113
Shamar Rigby,WR,113
Josiah Martin,WR,112
Jordan Anthony,WR,111
Jordan Smith,WR,110
Abdul Janneh,WR,109
Devin Hyatt,WR,109
Jared Roznos,WR,109
DaShawn Martin,WR,108
Javonte Sherman,WR,108
Keanu Hill,WR,108
Emari White,WR,107
De'Nylon Morrissette,WR,106
JeyQuan Smith,WR,106
Rykem Laney,WR,106
Seth Anderson,WR,106
Kendrick Law,WR,105
Michael Buckley,WR,103
Chaucey Magwood,WR,102
Peyton O'Leary,WR,102
Jarvis Rush,WR,101
Javon Harvey,WR,101
Zach Williams,WR,101
Moussa Barry,WR,100
Tank Hawkins,WR,100
Mavin Anderson,WR,99
Shazz Preston,WR,99
Suderian Harrison,WR,99
Tommy Maher,WR,99
Frank Covey IV,WR,98
Jeremiah Aaron,WR,97
Julian Gray,WR,97
Kayden McGee,WR,97
Zeed Haynes,WR,97
Josiah Freeman,WR,95
Cole Adams,WR,94
Jarriett Buie,WR,94
Jerand Bradley,WR,94
JuJu Lewis,WR,93
Brett Buckman,WR,91
Christopher Toudle,WR,91
Jaden Gibson,WR,91
Jake Smith,WR,91
Joshisa Trader,WR,91
Tamatoa Mokiao-Atimalala,WR,91
Brady Kluse,WR,90
Mike Matthews,WR,90
Ivan Carreon,WR,89
Anthony Evans III,WR,88
Jaden Bray,WR,88
Jadon Thompson,WR,88
Jaquaize Pettaway,WR,87
Kam Brown,WR,87
Carter Nelson,WR,86
Aaron Turner,WR,85
Malik McClain,WR,85
Demarcus Lacey,WR,84
Cam Schurr,WR,83
Demariyon Houston,WR,83
Hayden Eligon II,WR,83
Isiah Canion,WR,83
Bryan Robinson,WR,82
Emmanuel Henderson,WR,82
Daniel Blood,WR,81
Dom Henry,WR,80
Drayden Dickman,WR,80
Jacob Emmers,WR,80
Jamar Taylor,WR,80
Karsyn Pupunu,WR,80
Max Rodarte,WR,80
Ross Fournet,WR,80
