name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS,rushingYDS,rushingTDS
Keith Marshall,22,RB,Georgia,242.0,2013*,5.0,56.0,246.0,1.0,8.0,111.0,1.0,,
Keith Marshall,22,RB,Georgia,242.0,2014*,3.0,12.0,24.0,0.0,1.0,-5.0,0.0,,
Keith Marshall,22,RB,Georgia,242.0,2015*,11.0,68.0,350.0,3.0,4.0,28.0,1.0,,
Keith Marshall,22,RB,,,,,,,,,,,,
Zac Brooks,23,RB,Clemson,247.0,2012*,8.0,26.0,119.0,0.0,3.0,9.0,0.0,,
Zac Brooks,23,RB,Clemson,247.0,2013*,9.0,48.0,246.0,2.0,6.0,83.0,1.0,,
Zac Brooks,23,RB,Clemson,247.0,2015*,14.0,41.0,234.0,3.0,9.0,113.0,2.0,,
Zac Brooks,23,RB,,,,,,,,,,,,
Leonard Fournette,22,RB,LSU,4.0,2014*,13.0,187.0,1034.0,10.0,7.0,127.0,0.0,,
Leonard Fournette,22,RB,LSU,4.0,2015*,12.0,300.0,1953.0,22.0,19.0,253.0,1.0,,
Leonard Fournette,22,RB,LSU,4.0,2016*,7.0,129.0,843.0,8.0,15.0,146.0,0.0,,
Leonard Fournette,22,RB,,,,13.0,,,,36.0,302.0,1.0,1040.0,9.0
Christian McCaffrey,21,RB,Stanford,8.0,2014*,13.0,42.0,300.0,0.0,17.0,251.0,2.0,,
Christian McCaffrey,21,RB,Stanford,8.0,2015*,14.0,337.0,2019.0,8.0,45.0,645.0,5.0,,
Christian McCaffrey,21,RB,Stanford,8.0,2016*,11.0,253.0,1603.0,13.0,37.0,310.0,3.0,,
Christian McCaffrey,21,RB,,,,16.0,,,,80.0,651.0,5.0,435.0,2.0
Dalvin Cook,22,RB,Florida St.,41.0,2014*,13.0,170.0,1008.0,8.0,22.0,203.0,0.0,,
Dalvin Cook,22,RB,Florida St.,41.0,2015*,12.0,229.0,1691.0,19.0,24.0,244.0,1.0,,
Dalvin Cook,22,RB,Florida St.,41.0,2016*,13.0,288.0,1765.0,19.0,33.0,488.0,1.0,,
Dalvin Cook,22,RB,,,,4.0,,,,11.0,90.0,0.0,354.0,2.0
Joe Mixon,21,RB,Oklahoma,48.0,2015*,13.0,113.0,753.0,7.0,28.0,356.0,4.0,,
Joe Mixon,21,RB,Oklahoma,48.0,2016*,12.0,187.0,1274.0,10.0,37.0,538.0,5.0,,
Joe Mixon,21,RB,,,,14.0,,,,30.0,287.0,0.0,626.0,4.0
Alvin Kamara,22,RB,Tennessee,67.0,2015*,13.0,107.0,698.0,7.0,34.0,291.0,3.0,,
Alvin Kamara,22,RB,Tennessee,67.0,2016*,11.0,103.0,596.0,9.0,40.0,392.0,4.0,,
Alvin Kamara,22,RB,,,,16.0,,,,81.0,826.0,5.0,728.0,8.0
Kareem Hunt,22,RB,Toledo,86.0,2013,11.0,137.0,866.0,6.0,12.0,68.0,0.0,,
Kareem Hunt,22,RB,Toledo,86.0,2014*,10.0,205.0,1631.0,16.0,9.0,39.0,0.0,,
Kareem Hunt,22,RB,Toledo,86.0,2015*,10.0,178.0,973.0,12.0,11.0,45.0,0.0,,
Kareem Hunt,22,RB,Toledo,86.0,2016*,13.0,262.0,1475.0,10.0,41.0,403.0,1.0,,
Kareem Hunt,22,RB,,,,16.0,,,,53.0,455.0,3.0,1327.0,8.0
D'Onta Foreman,21,RB,Texas,89.0,2014*,7.0,15.0,73.0,0.0,1.0,7.0,0.0,,
D'Onta Foreman,21,RB,Texas,89.0,2015,10.0,95.0,681.0,5.0,5.0,64.0,0.0,,
D'Onta Foreman,21,RB,Texas,89.0,2016,11.0,323.0,2028.0,15.0,7.0,75.0,0.0,,
D'Onta Foreman,21,RB,,,,10.0,,,,6.0,83.0,0.0,327.0,2.0
James Conner,22,RB,Pittsburgh,105.0,2013*,12.0,146.0,799.0,8.0,3.0,33.0,0.0,,
James Conner,22,RB,Pittsburgh,105.0,2014*,13.0,298.0,1765.0,26.0,5.0,70.0,0.0,,
James Conner,22,RB,Pittsburgh,105.0,2015*,1.0,8.0,77.0,2.0,1.0,7.0,0.0,,
James Conner,22,RB,Pittsburgh,105.0,2016*,13.0,216.0,1092.0,16.0,21.0,302.0,4.0,,
James Conner,22,RB,,,,14.0,,,,0.0,0.0,0.0,144.0,0.0
Samaje Perine,21,RB,Oklahoma,114.0,2014*,13.0,263.0,1713.0,21.0,15.0,108.0,0.0,,
Samaje Perine,21,RB,Oklahoma,114.0,2015*,13.0,226.0,1349.0,16.0,15.0,107.0,1.0,,
Samaje Perine,21,RB,Oklahoma,114.0,2016*,10.0,196.0,1060.0,12.0,10.0,106.0,1.0,,
Samaje Perine,21,RB,,,,16.0,,,,22.0,182.0,1.0,603.0,1.0
Tarik Cohen,22,RB,North Carolina A&T,119.0,2013*,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Tarik Cohen,22,RB,North Carolina A&T,119.0,2014*,13.0,0.0,0.0,0.0,35.0,613.0,8.0,,
